Quebra;Quebra2;C�digo;Descri��o;Quantidade;Faturamento;Pre�o m�dio;Custo Total;Imposto Estadual;Imposto Federal;Lucro;Margem;Markup;Participa��o;Acumulado;Classifica��o;ICMS ST;Fecop ST
"";;00000000000087;COXAO MOLE  KG;0,310;9,30;30,00;8,68;0,00;0,00;0,62;6,67;7,14;0,00;0,00;;;
"";;00000000000099;ALHO DESCASCADO KG;0,355;11,01;31,01;8,52;0,00;0,00;2,49;22,62;29,23;0,00;0,00;;;
"";;00000000000070;SACOLA BOCA DE PALHACO;0,810;20,59;25,42;16,20;0,00;0,00;4,39;21,32;27,10;0,00;0,00;;;
"";;00000000000084;SACOLA VERDE VOLTE SEMPRE KG;0,965;14,38;14,90;12,06;0,00;0,00;2,32;16,12;19,21;0,00;0,00;;;
"";;00000000001163;ALECRIM 100G PIONEIRO;1,000;6,99;6,99;6,00;0,00;0,00;0,99;14,16;16,50;0,00;0,00;;;
"";;00000000001556;NESCAU LATA 350G;1,000;10,49;10,49;8,84;0,00;0,00;1,65;15,73;18,67;0,00;0,00;;;
"";;00000000003656;DETERGENTE LIMPA FACIL CLEAR 500ML;1,000;1,79;1,79;1,30;0,00;0,00;0,49;27,37;37,69;0,00;0,00;;;
"";;00000000005848;POTE RETANGULAR PRAFESTA 250ML;1,000;14,99;14,99;11,00;0,00;0,00;3,99;26,62;36,27;0,00;0,00;;;
"";;00000000003642;TOUCA DESCARTAVEL PREVEMAX C/100 UNIDADES;1,000;9,90;9,90;7,50;0,00;0,00;2,40;24,24;32,00;0,00;0,00;;;
"";;00000000003641;QUENTINHA ALUMINIO TAKENTE TK-145 COM 100 UND K05;1,000;32,90;32,90;26,00;0,00;0,00;6,90;20,97;26,54;0,00;0,00;;;
"";;00000000003637;COPOBRAS 200ML C/100 TRANS DESCARTAVEL;1,000;4,99;4,99;4,00;0,00;0,00;0,99;19,84;24,75;0,00;0,00;;;
"";;00000000006294;HIDRATANTE NIVEA LOTION 72H 150ML;1,000;16,90;16,90;13,53;0,00;0,00;3,37;19,94;24,91;0,00;0,00;;;
"";;00000000003634;GLITTER AZUL TIFFANY FLEX FEST 5G;1,000;7,98;7,98;6,91;0,00;0,00;1,07;13,41;15,48;0,00;0,00;;;
"";;00000000003633;PO PARA DECORA�AO LARANJA NEON 3G FLEX FEST;1,000;8,90;8,90;5,85;0,00;0,00;3,05;34,27;52,14;0,00;0,00;;;
"";;00000000003632;PO PARA DECORA�AO AMARELO NEON 3G FLEX FEST;1,000;8,90;8,90;5,85;0,00;0,00;3,05;34,27;52,14;0,00;0,00;;;
"";;00000000005827;AMENDOIM TORRADO GRANULADO VABENE 105KG;1,000;22,90;22,90;19,01;0,00;0,00;3,89;16,99;20,46;0,00;0,00;;;
"";;00000000003630;GLITTER HOLOGRAFICO LARANJA FLEX FEST 5G;1,000;7,98;7,98;5,39;0,00;0,00;2,59;32,46;48,05;0,00;0,00;;;
"";;00000000003629;GLITTER HOLOGRAFICO DOURADO FLEX FEST 5G;1,000;7,98;7,98;5,39;0,00;0,00;2,59;32,46;48,05;0,00;0,01;;;
"";;00000000006304;SACO DE LIXO REFOR�ADO KG;1,000;10,90;10,90;8,50;0,00;0,00;2,40;22,02;28,24;0,00;0,01;;;
"";;00000000003628;GLITTER HOLOGRAFICO VERDE FLEX FEST 5G;1,000;7,98;7,98;5,39;0,00;0,00;2,59;32,46;48,05;0,00;0,01;;;
"";;00000000006029;GELEIA DE PESSEGO MARIZA FRUTASUL 420 G;1,000;18,99;18,99;14,70;0,00;0,00;4,29;22,59;29,18;0,00;0,01;;;
"";;00000000003620;TOPO DE BOLO NUMERO 9;1,000;3,69;3,69;2,62;0,00;0,00;1,07;29,00;40,84;0,00;0,01;;;
"";;00000000005653;CAMOMILA FLOR MARIZA 10G;1,000;1,99;1,99;1,25;0,00;0,00;0,74;37,19;59,20;0,00;0,01;;;
